Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,4.92387,0.426067
2.298,0.1,4.92419,0.42617
5.078,0.2,4.92403,0.426141
7.874,0.30000000000000004,4.92291,0.426126
10.654,0.4,4.92419,0.426288
13.466,0.5,4.92355,0.426155
16.246,0.6,4.92387,0.426244
19.043,0.7,4.92451,0.426318
21.853,0.7999999999999999,4.92435,0.426288
24.651,0.8999999999999999,4.92387,0.426288
27.477,0.9999999999999999,4.92419,0.426481
30.289,1.0999999999999999,4.92403,0.426466
33.102,1.2,4.92435,0.426318
35.881,1.3,4.92339,0.426392
38.694,1.4000000000000001,4.92451,0.426407
41.491,1.5000000000000002,4.92355,0.426318
44.270,1.6000000000000003,4.92435,0.426348
47.050,1.7000000000000004,4.92387,0.426407
49.847,1.8000000000000005,4.92435,0.426466
52.626,1.9000000000000006,4.92371,0.426392
55.406,2.0000000000000004,4.92403,0.426362
58.217,2.1000000000000005,4.92451,0.426318
61.031,2.2000000000000006,4.92387,0.426288
63.810,2.3000000000000007,4.92403,0.426377
66.622,2.400000000000001,4.92387,0.426259
69.402,2.500000000000001,4.92451,0.426333
72.198,2.600000000000001,4.92371,0.426407
74.995,2.700000000000001,4.92403,0.426466
77.774,2.800000000000001,4.92467,0.426495
80.570,2.9000000000000012,4.92387,0.426599
83.366,3.0000000000000013,4.92435,0.42654
86.178,3.1000000000000014,4.92387,0.426466
88.975,3.2000000000000015,4.92355,0.426673
91.753,3.3000000000000016,4.92387,0.426599
94.550,3.4000000000000017,4.92435,0.42651
97.381,3.5000000000000018,4.92467,0.426466
100.172,3.600000000000002,4.92435,0.426481
102.984,3.700000000000002,4.92387,0.426554
105.765,3.800000000000002,4.92419,0.426451
108.561,3.900000000000002,4.92419,0.426377
111.372,4.000000000000002,4.92419,0.426407
114.169,4.100000000000001,4.92387,0.426554
116.948,4.200000000000001,4.92483,0.426525
119.754,4.300000000000001,4.92371,0.426628
122.572,4.4,4.92419,0.426658
125.400,4.5,4.92371,0.426333
128.195,4.6,4.92387,0.42651
130.990,4.699999999999999,4.92403,0.426451
133.787,4.799999999999999,4.92419,0.426362
136.598,4.899999999999999,4.92451,0.426495
139.380,4.999999999999998,4.92419,0.426554
142.191,5.099999999999998,4.92403,0.426717
144.986,5.1999999999999975,4.92403,0.426599
147.799,5.299999999999997,4.92387,0.42651
150.595,5.399999999999997,4.92419,0.426392
153.407,5.4999999999999964,4.92387,0.42654
156.203,5.599999999999996,4.92419,0.42682
159.062,5.699999999999996,4.92498,0.427042
161.874,5.799999999999995,4.92451,0.427012
164.686,5.899999999999995,4.92371,0.426791
167.482,5.999999999999995,4.92451,0.42682
170.277,6.099999999999994,4.92371,0.426702
173.090,6.199999999999994,4.92435,0.426673
175.870,6.299999999999994,4.92419,0.426806
178.664,6.399999999999993,4.92451,0.426732
181.461,6.499999999999993,4.92403,0.426894
184.272,6.5999999999999925,4.92387,0.427012
187.084,6.699999999999992,4.92371,0.427116
189.959,6.799999999999992,4.92371,0.427352
192.772,6.8999999999999915,4.92355,0.427367
195.551,6.999999999999991,4.92419,0.427825
198.348,7.099999999999991,4.92355,0.428342
201.159,7.19999999999999,4.92387,0.428416
203.955,7.29999999999999,4.92403,0.428534
206.735,7.39999999999999,4.92403,0.428594
209.547,7.499999999999989,4.92451,0.429037
212.360,7.599999999999989,4.92419,0.429835
215.187,7.699999999999989,4.92419,0.430115
217.998,7.799999999999988,4.92451,0.430514
220.794,7.899999999999988,4.92355,0.430618
223.606,7.999999999999988,4.92435,0.430529
226.417,8.099999999999987,4.92387,0.430441
229.213,8.199999999999987,4.92355,0.430633
232.025,8.299999999999986,4.92451,0.430854
234.822,8.399999999999986,4.92435,0.430751
237.649,8.499999999999986,4.92371,0.430825
240.479,8.599999999999985,4.92483,0.43078
243.257,8.699999999999985,4.92435,0.430559
246.037,8.799999999999985,4.92387,0.430056
248.848,8.899999999999984,4.92419,0.429657
251.660,8.999999999999984,4.92451,0.429199
254.456,9.099999999999984,4.92371,0.428786
257.268,9.199999999999983,4.92435,0.42852
260.048,9.299999999999983,4.92355,0.428195
262.846,9.399999999999983,4.92483,0.427884
265.656,9.499999999999982,4.92419,0.427707
268.469,9.599999999999982,4.92403,0.427574
271.252,9.699999999999982,4.92371,0.427441
274.044,9.799999999999981,4.92387,0.427293
