Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,4.9226,0.425668
2.326,0.1,4.92275,0.425697
5.122,0.2,4.92275,0.42555
7.917,0.30000000000000004,4.92291,0.425712
10.729,0.4,4.92307,0.425742
13.524,0.5,4.92323,0.425712
16.367,0.6,4.92291,0.425742
19.164,0.7,4.92244,0.425727
22.057,0.7999999999999999,4.92275,0.425786
24.868,0.8999999999999999,4.92291,0.425771
27.648,0.9999999999999999,4.92275,0.425816
30.430,1.0999999999999999,4.92228,0.425579
33.223,1.2,4.92244,0.42555
36.004,1.3,4.92244,0.425712
38.799,1.4000000000000001,4.9226,0.425786
41.627,1.5000000000000002,4.92307,0.425727
44.455,1.6000000000000003,4.92307,0.425638
47.250,1.7000000000000004,4.92291,0.425712
50.062,1.8000000000000005,4.92275,0.425816
52.874,1.9000000000000006,4.9226,0.425889
55.677,2.0000000000000004,4.92275,0.42583
58.466,2.1000000000000005,4.92307,0.425919
61.279,2.2000000000000006,4.92291,0.426082
64.107,2.3000000000000007,4.92307,0.425875
66.886,2.400000000000001,4.92291,0.425801
69.714,2.500000000000001,4.92275,0.425904
72.525,2.600000000000001,4.92244,0.425875
75.321,2.700000000000001,4.92275,0.425978
78.102,2.800000000000001,4.92275,0.425949
80.897,2.9000000000000012,4.92244,0.425919
83.694,3.0000000000000013,4.92275,0.425816
86.505,3.1000000000000014,4.92291,0.425904
89.303,3.2000000000000015,4.92275,0.426037
92.081,3.3000000000000016,4.9226,0.426096
94.878,3.4000000000000017,4.92275,0.425963
97.689,3.5000000000000018,4.92291,0.426008
100.484,3.600000000000002,4.92291,0.426082
103.280,3.700000000000002,4.92323,0.425934
106.077,3.800000000000002,4.92307,0.425934
108.856,3.900000000000002,4.92339,0.425963
111.651,4.000000000000002,4.9226,0.425919
114.463,4.100000000000001,4.92291,0.425904
117.259,4.200000000000001,4.9226,0.425889
120.058,4.300000000000001,4.92275,0.425949
122.850,4.4,4.92307,0.425904
125.648,4.5,4.92323,0.426022
128.443,4.6,4.92228,0.425934
131.239,4.699999999999999,4.92291,0.425949
134.051,4.799999999999999,4.92307,0.426008
136.846,4.899999999999999,4.92307,0.425949
139.626,4.999999999999998,4.92291,0.426052
142.439,5.099999999999998,4.92291,0.426333
145.235,5.1999999999999975,4.9226,0.426215
148.030,5.299999999999997,4.92275,0.426126
150.810,5.399999999999997,4.9226,0.426274
153.622,5.4999999999999964,4.92291,0.426274
156.401,5.599999999999996,4.92307,0.426303
159.213,5.699999999999996,4.9226,0.426658
161.995,5.799999999999995,4.9226,0.426569
164.790,5.899999999999995,4.9226,0.426377
167.601,5.999999999999995,4.9226,0.426348
170.381,6.099999999999994,4.92291,0.426318
173.162,6.199999999999994,4.92228,0.426348
175.974,6.299999999999994,4.9226,0.426584
178.753,6.399999999999993,4.92307,0.426466
181.548,6.499999999999993,4.92291,0.426554
184.344,6.5999999999999925,4.92291,0.426613
187.156,6.699999999999992,4.9226,0.426687
189.953,6.799999999999992,4.92307,0.426909
192.732,6.8999999999999915,4.92307,0.427042
195.528,6.999999999999991,4.92244,0.427308
198.325,7.099999999999991,4.92275,0.42784
201.136,7.19999999999999,4.92244,0.427884
203.933,7.29999999999999,4.92244,0.428135
206.728,7.39999999999999,4.9226,0.428416
209.524,7.499999999999989,4.92323,0.428859
212.352,7.599999999999989,4.92244,0.429598
215.147,7.699999999999989,4.9226,0.430115
217.944,7.799999999999988,4.92291,0.430219
220.755,7.899999999999988,4.92275,0.429968
223.551,7.999999999999988,4.92323,0.429909
226.363,8.099999999999987,4.9226,0.429805
229.159,8.199999999999987,4.92307,0.430101
231.964,8.299999999999986,4.92307,0.430248
234.766,8.399999999999986,4.92291,0.430337
237.546,8.499999999999986,4.92307,0.430396
240.342,8.599999999999985,4.92307,0.430248
243.155,8.699999999999985,4.92275,0.430012
245.966,8.799999999999985,4.92307,0.429746
248.763,8.899999999999984,4.92275,0.429436
251.575,8.999999999999984,4.92291,0.428859
254.370,9.099999999999984,4.92307,0.428534
257.166,9.199999999999983,4.92275,0.428195
259.961,9.299999999999983,4.92291,0.427914
262.773,9.399999999999983,4.92275,0.427707
265.586,9.499999999999982,4.92275,0.427456
268.382,9.599999999999982,4.92339,0.427411
271.196,9.699999999999982,4.92307,0.427219
274.024,9.799999999999981,4.92339,0.426939
276.803,9.89999999999998,4.92339,0.42682
279.646,9.99999999999998,4.92323,0.426865
282.457,10.09999999999998,4.92275,0.426806
285.253,10.19999999999998,4.92291,0.426717
288.080,10.29999999999998,4.92275,0.426732
290.876,10.399999999999979,4.92275,0.426436
293.668,10.499999999999979,4.92291,0.426421
296.484,10.599999999999978,4.9226,0.426288
299.264,10.699999999999978,4.92307,0.426362
302.060,10.799999999999978,4.92275,0.426244
304.872,10.899999999999977,4.92291,0.426392
307.667,10.999999999999977,4.92307,0.426377
310.464,11.099999999999977,4.92212,0.4262
313.244,11.199999999999976,4.92275,0.426141
316.023,11.299999999999976,4.92275,0.426185
318.819,11.399999999999975,4.92275,0.426067
321.599,11.499999999999975,4.9226,0.426067
324.395,11.599999999999975,4.92355,0.426126
327.191,11.699999999999974,4.92291,0.426126
330.019,11.799999999999974,4.92307,0.426067
332.830,11.899999999999974,4.92196,0.426022
335.611,11.999999999999973,4.92228,0.426111
338.423,12.099999999999973,4.9226,0.426067
341.234,12.199999999999973,4.9226,0.426082
344.030,12.299999999999972,4.9226,0.426067
346.810,12.399999999999972,4.92307,0.425919
349.590,12.499999999999972,4.92291,0.426008
352.401,12.599999999999971,4.9226,0.426096
355.182,12.69999999999997,4.92291,0.426067
357.980,12.79999999999997,4.92228,0.426037
360.757,12.89999999999997,4.92275,0.426067
363.569,12.99999999999997,4.92275,0.425919
366.365,13.09999999999997,4.92323,0.426037
369.177,13.199999999999969,4.9226,0.426022
371.957,13.299999999999969,4.92275,0.426008
374.753,13.399999999999968,4.92275,0.425934
377.549,13.499999999999968,4.92307,0.425949
380.345,13.599999999999968,4.92212,0.425949
383.157,13.699999999999967,4.9226,0.425904
385.952,13.799999999999967,4.92275,0.425963
388.749,13.899999999999967,4.92275,0.426037
391.528,13.999999999999966,4.92244,0.426008
394.341,14.099999999999966,4.92291,0.42583
397.137,14.199999999999966,4.92275,0.425845
399.956,14.299999999999965,4.92275,0.425978
402.744,14.399999999999965,4.92244,0.426052
405.524,14.499999999999964,4.9226,0.426022
408.305,14.599999999999964,4.92307,0.425934
411.131,14.699999999999964,4.92307,0.425963
413.912,14.799999999999963,4.92307,0.425949
416.707,14.899999999999963,4.92275,0.425949
419.504,14.999999999999963,4.92244,0.425904
422.300,15.099999999999962,4.9226,0.425949
425.111,15.199999999999962,4.9226,0.425889
427.892,15.299999999999962,4.92228,0.425904
430.704,15.399999999999961,4.9226,0.425786
433.483,15.499999999999961,4.92307,0.425949
436.285,15.59999999999996,4.92291,0.425949
439.091,15.69999999999996,4.92323,0.425904
441.887,15.79999999999996,4.9226,0.425889
444.683,15.89999999999996,4.92307,0.425963
447.495,15.99999999999996,4.92244,0.426022
450.291,16.09999999999996,4.92244,0.425742
453.087,16.19999999999996,4.92371,0.42586
455.899,16.29999999999996,4.9226,0.42583
458.695,16.399999999999963,4.92307,0.425816
461.473,16.499999999999964,4.92244,0.425875
464.253,16.599999999999966,4.92307,0.425934
467.067,16.699999999999967,4.92212,0.426052
469.924,16.79999999999997,4.92291,0.425934
472.704,16.89999999999997,4.92244,0.426008
475.564,16.99999999999997,4.92291,0.425993
478.376,17.099999999999973,4.92291,0.426185
481.188,17.199999999999974,4.92212,0.426126
483.984,17.299999999999976,4.9226,0.426155
486.781,17.399999999999977,4.92275,0.426141
489.576,17.49999999999998,4.92291,0.426155
492.372,17.59999999999998,4.92244,0.426259
495.183,17.69999999999998,4.92291,0.426082
497.980,17.799999999999983,4.9226,0.426111
500.775,17.899999999999984,4.92339,0.426126
