Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,4.92578,0.424914
2.299,0.1,4.92562,0.425032
5.095,0.2,4.92483,0.425106
7.875,0.30000000000000004,4.92546,0.425092
10.653,0.4,4.92483,0.42521
13.466,0.5,4.9253,0.425062
16.277,0.6,4.92467,0.424929
19.073,0.7,4.92562,0.425047
21.853,0.7999999999999999,4.92514,0.425032
24.681,0.8999999999999999,4.92514,0.424988
27.477,0.9999999999999999,4.92546,0.425151
30.257,1.0999999999999999,4.92514,0.425239
33.068,1.2,4.92514,0.425136
35.870,1.3,4.92514,0.425195
38.644,1.4000000000000001,4.92483,0.425032
41.440,1.5000000000000002,4.92546,0.425106
44.235,1.6000000000000003,4.92546,0.425151
47.032,1.7000000000000004,4.92562,0.425106
49.827,1.8000000000000005,4.92562,0.425151
52.639,1.9000000000000006,4.92514,0.424973
55.450,2.0000000000000004,4.92562,0.425121
58.246,2.1000000000000005,4.92546,0.425077
61.026,2.2000000000000006,4.92467,0.425254
63.824,2.3000000000000007,4.92498,0.425106
66.618,2.400000000000001,4.92483,0.425106
69.415,2.500000000000001,4.92498,0.425106
72.210,2.600000000000001,4.92546,0.425062
75.022,2.700000000000001,4.92562,0.425225
77.801,2.800000000000001,4.92562,0.425225
80.598,2.9000000000000012,4.92594,0.425032
83.394,3.0000000000000013,4.9253,0.425121
86.189,3.1000000000000014,4.92514,0.425077
89.002,3.2000000000000015,4.92514,0.425151
91.781,3.3000000000000016,4.92546,0.425003
94.578,3.4000000000000017,4.92578,0.425018
97.374,3.5000000000000018,4.92514,0.425225
100.185,3.600000000000002,4.92498,0.425077
102.980,3.700000000000002,4.92498,0.425136
105.761,3.800000000000002,4.92546,0.425077
108.558,3.900000000000002,4.92498,0.425136
111.352,4.000000000000002,4.9253,0.425269
114.149,4.100000000000001,4.92546,0.425062
116.929,4.200000000000001,4.92546,0.425195
119.756,4.300000000000001,4.92514,0.42521
122.604,4.4,4.92483,0.424988
125.384,4.5,4.92498,0.42484
128.208,4.6,4.92498,0.425077
131.037,4.699999999999999,4.92562,0.425121
133.848,4.799999999999999,4.92578,0.425328
136.644,4.899999999999999,4.9253,0.425077
139.440,4.999999999999998,4.9253,0.425195
142.252,5.099999999999998,4.92562,0.425269
145.046,5.1999999999999975,4.92562,0.425269
147.828,5.299999999999997,4.9253,0.425284
150.640,5.399999999999997,4.9253,0.425328
153.451,5.4999999999999964,4.9253,0.425387
156.263,5.599999999999996,4.92594,0.425446
159.219,5.699999999999996,4.92483,0.425756
161.998,5.799999999999995,4.92498,0.425668
164.778,5.899999999999995,4.92578,0.425372
167.557,5.999999999999995,4.92578,0.425313
170.338,6.099999999999994,4.9253,0.425284
173.117,6.199999999999994,4.92562,0.42521
175.897,6.299999999999994,4.9253,0.425313
178.677,6.399999999999993,4.9253,0.425446
181.457,6.499999999999993,4.92514,0.425609
184.270,6.5999999999999925,4.92546,0.425712
187.049,6.699999999999992,4.92578,0.425801
189.829,6.799999999999992,4.92498,0.426008
192.608,6.8999999999999915,4.92483,0.42617
195.388,6.999999999999991,4.92594,0.426392
198.184,7.099999999999991,4.9253,0.426865
200.964,7.19999999999999,4.9253,0.426894
203.776,7.29999999999999,4.92483,0.427116
206.572,7.39999999999999,4.92578,0.427308
209.368,7.499999999999989,4.92514,0.427914
212.148,7.599999999999989,4.92467,0.428682
214.960,7.699999999999989,4.92546,0.428919
217.739,7.799999999999988,4.9253,0.429303
220.552,7.899999999999988,4.92546,0.429332
223.362,7.999999999999988,4.9253,0.429303
226.165,8.099999999999987,4.92483,0.429214
228.955,8.199999999999987,4.92498,0.429273
231.751,8.299999999999986,4.92562,0.429347
234.547,8.399999999999986,4.92514,0.42948
237.327,8.499999999999986,4.92594,0.42951
240.142,8.599999999999985,4.92578,0.429451
242.937,8.699999999999985,4.9261,0.429096
245.746,8.799999999999985,4.92546,0.428771
248.542,8.899999999999984,4.92546,0.428534
251.338,8.999999999999984,4.92514,0.428002
254.118,9.099999999999984,4.92546,0.427352
256.914,9.199999999999983,4.92514,0.42719
259.709,9.299999999999983,4.92546,0.426865
262.521,9.399999999999983,4.92546,0.426392
265.318,9.499999999999982,4.92546,0.426407
268.112,9.599999999999982,4.9253,0.426229
270.924,9.699999999999982,4.92546,0.426185
273.721,9.799999999999981,4.92562,0.425963
276.515,9.89999999999998,4.92498,0.42583
279.328,9.99999999999998,4.92483,0.42586
282.126,10.09999999999998,4.92562,0.425816
284.936,10.19999999999998,4.92514,0.425683
287.731,10.29999999999998,4.92514,0.425535
290.527,10.399999999999979,4.92562,0.425697
293.339,10.499999999999979,4.92483,0.42552
296.151,10.599999999999978,4.92546,0.425328
298.931,10.699999999999978,4.92562,0.425372
301.710,10.799999999999978,4.9253,0.425358
304.522,10.899999999999977,4.9253,0.425417
307.335,10.999999999999977,4.92546,0.425225
310.123,11.099999999999977,4.9253,0.425165
312.928,11.199999999999976,4.92498,0.42521
315.756,11.299999999999976,4.9253,0.42518
318.549,11.399999999999975,4.92546,0.425032
321.352,11.499999999999975,4.92562,0.425106
324.160,11.599999999999975,4.92546,0.425151
326.969,11.699999999999974,4.9253,0.425047
329.749,11.799999999999974,4.92514,0.424988
332.594,11.899999999999974,4.92562,0.425003
335.389,11.999999999999973,4.92546,0.425106
338.208,12.099999999999973,4.9261,0.425062
340.997,12.199999999999973,4.9253,0.424973
343.826,12.299999999999972,4.92562,0.424959
346.658,12.399999999999972,4.92451,0.424973
349.448,12.499999999999972,4.9253,0.425047
352.228,12.599999999999971,4.92514,0.425018
355.041,12.69999999999997,4.9253,0.424899
357.840,12.79999999999997,4.92546,0.424929
360.648,12.89999999999997,4.9253,0.424752
363.445,12.99999999999997,4.9253,0.425018
366.240,13.09999999999997,4.92562,0.424959
369.038,13.199999999999969,4.92578,0.424929
371.815,13.299999999999969,4.92562,0.42484
374.612,13.399999999999968,4.9253,0.425018
377.423,13.499999999999968,4.92594,0.424944
380.235,13.599999999999968,4.92514,0.424988
383.031,13.699999999999967,4.92594,0.424914
385.826,13.799999999999967,4.92514,0.425018
388.622,13.899999999999967,4.92562,0.424959
391.435,13.999999999999966,4.92562,0.424855
394.247,14.099999999999966,4.92562,0.425047
397.042,14.199999999999966,4.92467,0.425003
399.841,14.299999999999965,4.92562,0.425032
402.618,14.399999999999965,4.92562,0.425047
405.413,14.499999999999964,4.92626,0.425032
408.209,14.599999999999964,4.92578,0.424959
410.990,14.699999999999964,4.92514,0.424973
413.786,14.799999999999963,4.92546,0.425062
416.597,14.899999999999963,4.92546,0.425003
419.377,14.999999999999963,4.9253,0.425077
422.189,15.099999999999962,4.9253,0.425047
424.984,15.199999999999962,4.9253,0.424959
427.782,15.299999999999962,4.92467,0.425092
430.561,15.399999999999961,4.92546,0.425106
