Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,4.92642,0.424693
2.302,0.1,4.92594,0.424796
5.111,0.2,4.92626,0.424796
7.909,0.30000000000000004,4.92546,0.424707
10.719,0.4,4.92594,0.424693
13.499,0.5,4.92578,0.424604
16.311,0.6,4.9261,0.424781
19.107,0.7,4.92594,0.424826
21.887,0.7999999999999999,4.92546,0.424693
24.716,0.8999999999999999,4.92594,0.424604
27.526,0.9999999999999999,4.92674,0.424766
30.323,1.0999999999999999,4.92562,0.424781
33.117,1.2,4.92594,0.424678
35.897,1.3,4.9261,0.42456
38.678,1.4000000000000001,4.9253,0.424619
41.474,1.5000000000000002,4.92626,0.42453
44.270,1.6000000000000003,4.92642,0.424486
47.049,1.7000000000000004,4.92594,0.424781
49.829,1.8000000000000005,4.92578,0.424766
52.641,1.9000000000000006,4.92562,0.424663
55.421,2.0000000000000004,4.92642,0.424633
58.218,2.1000000000000005,4.92578,0.424515
61.013,2.2000000000000006,4.92578,0.424604
63.825,2.3000000000000007,4.92562,0.42453
66.622,2.400000000000001,4.92578,0.424693
69.448,2.500000000000001,4.9261,0.424693
72.260,2.600000000000001,4.9261,0.424781
75.083,2.700000000000001,4.92626,0.424766
77.869,2.800000000000001,4.92594,0.424663
80.663,2.9000000000000012,4.9261,0.424796
83.475,3.0000000000000013,4.92546,0.424752
86.271,3.1000000000000014,4.92594,0.424737
89.068,3.2000000000000015,4.9261,0.424899
91.878,3.3000000000000016,4.9261,0.424693
94.707,3.4000000000000017,4.92594,0.424826
97.518,3.5000000000000018,4.92626,0.42484
100.315,3.600000000000002,4.9261,0.424707
103.094,3.700000000000002,4.92562,0.424855
105.890,3.800000000000002,4.92562,0.424707
108.670,3.900000000000002,4.9261,0.424914
111.449,4.000000000000002,4.92578,0.424899
114.262,4.100000000000001,4.92562,0.424855
117.057,4.200000000000001,4.92562,0.424929
119.869,4.300000000000001,4.92578,0.424826
122.652,4.4,4.92626,0.424855
125.444,4.5,4.92562,0.424766
128.241,4.6,4.92562,0.424855
131.052,4.699999999999999,4.92594,0.424766
133.831,4.799999999999999,4.9253,0.425003
136.644,4.899999999999999,4.92594,0.424973
139.455,4.999999999999998,4.92562,0.424885
142.252,5.099999999999998,4.92594,0.424914
145.063,5.1999999999999975,4.92626,0.424796
147.859,5.299999999999997,4.92578,0.424826
150.656,5.399999999999997,4.9253,0.42484
153.450,5.4999999999999964,4.92626,0.424973
156.262,5.599999999999996,4.92658,0.425062
159.074,5.699999999999996,4.92594,0.425387
161.854,5.799999999999995,4.9261,0.425446
164.666,5.899999999999995,4.92578,0.425225
167.447,5.999999999999995,4.92642,0.425003
170.227,6.099999999999994,4.92594,0.42484
173.038,6.199999999999994,4.92546,0.42518
175.832,6.299999999999994,4.92626,0.425003
178.645,6.399999999999993,4.92594,0.425284
181.456,6.499999999999993,4.92578,0.425343
184.255,6.5999999999999925,4.92546,0.425313
187.064,6.699999999999992,4.92594,0.425594
189.845,6.799999999999992,4.92562,0.425756
192.657,6.8999999999999915,4.9261,0.425771
195.468,6.999999999999991,4.92562,0.426111
198.265,7.099999999999991,4.9261,0.426554
201.060,7.19999999999999,4.92578,0.426658
203.872,7.29999999999999,4.92578,0.426761
206.652,7.39999999999999,4.9253,0.426998
209.448,7.499999999999989,4.9261,0.427648
212.244,7.599999999999989,4.92578,0.428239
215.039,7.699999999999989,4.92642,0.428638
217.820,7.799999999999988,4.9261,0.428874
220.616,7.899999999999988,4.92594,0.428889
223.395,7.999999999999988,4.9261,0.428697
226.191,8.099999999999987,4.92562,0.428904
229.003,8.199999999999987,4.92578,0.429052
231.800,8.299999999999986,4.92578,0.429052
234.611,8.399999999999986,4.92562,0.429214
237.390,8.499999999999986,4.92562,0.429125
240.202,8.599999999999985,4.92562,0.428992
242.999,8.699999999999985,4.92562,0.428859
245.810,8.799999999999985,4.92594,0.428416
248.622,8.899999999999984,4.92578,0.428121
251.420,8.999999999999984,4.92626,0.427604
254.216,9.099999999999984,4.92626,0.427175
256.993,9.199999999999983,4.92626,0.426643
259.822,9.299999999999983,4.92642,0.426244
262.635,9.399999999999983,4.92626,0.426362
265.412,9.499999999999982,4.9261,0.426318
268.208,9.599999999999982,4.92578,0.425949
271.016,9.699999999999982,4.9261,0.42555
273.832,9.799999999999981,4.92514,0.425727
276.629,9.89999999999998,4.92642,0.425609
279.439,9.99999999999998,4.92546,0.425372
282.237,10.09999999999998,4.92626,0.425328
285.032,10.19999999999998,4.92594,0.425269
287.812,10.29999999999998,4.92594,0.425225
290.593,10.399999999999979,4.92642,0.425062
293.420,10.499999999999979,4.92626,0.425003
296.248,10.599999999999978,4.92562,0.425195
299.060,10.699999999999978,4.9261,0.425092
301.840,10.799999999999978,4.92578,0.425047
304.651,10.899999999999977,4.92658,0.424885
307.463,10.999999999999977,4.92658,0.42487
310.258,11.099999999999977,4.92562,0.424826
313.070,11.199999999999976,4.92562,0.424678
315.851,11.299999999999976,4.92546,0.42484
318.678,11.399999999999975,4.92546,0.424944
321.475,11.499999999999975,4.9261,0.424737
324.255,11.599999999999975,4.92626,0.424752
327.051,11.699999999999974,4.92626,0.424766
329.862,11.799999999999974,4.92546,0.424855
332.660,11.899999999999974,4.92594,0.424899
335.486,11.999999999999973,4.92594,0.424707
338.281,12.099999999999973,4.92626,0.424914
341.095,12.199999999999973,4.92562,0.424752
343.889,12.299999999999972,4.92594,0.424752
346.701,12.399999999999972,4.92626,0.424811
349.481,12.499999999999972,4.9261,0.424663
352.278,12.599999999999971,4.92578,0.424663
355.056,12.69999999999997,4.9261,0.424722
357.853,12.79999999999997,4.92546,0.424648
360.649,12.89999999999997,4.92594,0.424737
363.460,12.99999999999997,4.92546,0.424648
366.256,13.09999999999997,4.92594,0.424781
369.052,13.199999999999969,4.9261,0.424707
371.870,13.299999999999969,4.92594,0.424619
374.660,13.399999999999968,4.92626,0.424574
377.472,13.499999999999968,4.92594,0.424397
380.267,13.599999999999968,4.92578,0.424456
383.048,13.699999999999967,4.92562,0.424693
385.828,13.799999999999967,4.92578,0.424633
388.641,13.899999999999967,4.92562,0.424722
391.453,13.999999999999966,4.92562,0.424515
394.231,14.099999999999966,4.92578,0.4245
397.044,14.199999999999966,4.92498,0.424574
399.823,14.299999999999965,4.9261,0.424678
402.623,14.399999999999965,4.92594,0.424648
405.399,14.499999999999964,4.92546,0.424619
408.179,14.599999999999964,4.92578,0.424722
410.960,14.699999999999964,4.92578,0.424766
413.755,14.799999999999963,4.92594,0.424441
416.566,14.899999999999963,4.92594,0.42453
419.378,14.999999999999963,4.92562,0.424574
422.187,15.099999999999962,4.92562,0.424619
424.986,15.199999999999962,4.92578,0.424397
427.798,15.299999999999962,4.92546,0.424604
430.609,15.399999999999961,4.92594,0.424604
433.390,15.499999999999961,4.9261,0.424619
436.201,15.59999999999996,4.92594,0.424693
439.013,15.69999999999996,4.92562,0.424707
