Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,0.00369325,0.429613
2.278,0.1,0.00370727,0.429776
5.074,0.2,0.00370919,0.429672
7.870,0.30000000000000004,0.00370409,0.429746
10.655,0.4,0.00370759,0.429643
13.431,0.5,0.0037044,0.429702
16.210,0.6,0.00369771,0.429672
19.054,0.7,0.00370217,0.429598
21.834,0.7999999999999999,0.00370919,0.429672
24.630,0.8999999999999999,0.00370855,0.429717
27.426,0.9999999999999999,0.00370409,0.429746
30.237,1.0999999999999999,0.00369803,0.429717
33.018,1.2,0.00372289,0.429524
35.829,1.3,0.00370409,0.429776
38.625,1.4000000000000001,0.00370695,0.429731
41.453,1.5000000000000002,0.00371556,0.429598
44.232,1.6000000000000003,0.00370217,0.42979
47.028,1.7000000000000004,0.00370823,0.429761
49.856,1.8000000000000005,0.00373278,0.429835
52.652,1.9000000000000006,0.00368241,0.429879
55.447,2.0000000000000004,0.00371652,0.42982
58.288,2.1000000000000005,0.00370472,0.429894
61.103,2.2000000000000006,0.00370887,0.429909
63.900,2.3000000000000007,0.00370377,0.429702
66.696,2.400000000000001,0.00371046,0.429864
69.507,2.500000000000001,0.00371588,0.429864
72.357,2.600000000000001,0.0037111,0.429805
75.162,2.700000000000001,0.00370982,0.429909
77.958,2.800000000000001,0.00371333,0.430219
80.771,2.9000000000000012,0.00370887,0.430071
83.550,3.0000000000000013,0.00370377,0.429864
86.329,3.1000000000000014,0.00370249,0.429982
89.128,3.2000000000000015,0.00371461,0.429909
91.924,3.3000000000000016,0.00370855,0.430042
94.737,3.4000000000000017,0.00370919,0.430027
97.557,3.5000000000000018,0.00371588,0.429953
100.377,3.600000000000002,0.00371907,0.430145
103.153,3.700000000000002,0.00371333,0.430101
105.949,3.800000000000002,0.00371492,0.43016
108.761,3.900000000000002,0.00371205,0.430086
111.573,4.000000000000002,0.00371397,0.430145
114.386,4.100000000000001,0.00370855,0.429982
117.181,4.200000000000001,0.00371014,0.430027
