Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,4.9218,0.425594
2.310,0.1,4.9218,0.425564
5.122,0.2,4.92212,0.425402
7.918,0.30000000000000004,4.92196,0.425727
10.714,0.4,4.92164,0.425653
13.525,0.5,4.92244,0.425786
16.337,0.6,4.9218,0.425771
19.133,0.7,4.92275,0.425491
21.932,0.7999999999999999,4.9226,0.42555
24.741,0.8999999999999999,4.92212,0.425727
27.537,0.9999999999999999,4.92196,0.425653
30.316,1.0999999999999999,4.92212,0.425623
33.098,1.2,4.9226,0.425564
35.909,1.3,4.92228,0.42586
38.688,1.4000000000000001,4.92244,0.425653
41.468,1.5000000000000002,4.92196,0.425712
44.280,1.6000000000000003,4.92196,0.425816
47.092,1.7000000000000004,4.92196,0.425623
49.920,1.8000000000000005,4.92228,0.42555
52.701,1.9000000000000006,4.92212,0.425623
55.480,2.0000000000000004,4.9226,0.425579
58.275,2.1000000000000005,4.92228,0.42583
61.055,2.2000000000000006,4.92212,0.425535
63.867,2.3000000000000007,4.92212,0.42583
66.647,2.400000000000001,4.92212,0.425771
69.443,2.500000000000001,4.92212,0.425742
72.225,2.600000000000001,4.9218,0.425683
75.002,2.700000000000001,4.92228,0.425535
77.815,2.800000000000001,4.92244,0.425697
80.612,2.9000000000000012,4.92212,0.425431
83.390,3.0000000000000013,4.92196,0.425697
86.187,3.1000000000000014,4.9226,0.425535
88.998,3.2000000000000015,4.92228,0.425845
91.794,3.3000000000000016,4.92212,0.425816
94.590,3.4000000000000017,4.92212,0.425727
97.369,3.5000000000000018,4.92228,0.425742
100.200,3.600000000000002,4.92212,0.425801
102.977,3.700000000000002,4.92196,0.425889
105.773,3.800000000000002,4.92196,0.425904
108.586,3.900000000000002,4.9226,0.425579
111.381,4.000000000000002,4.9218,0.425623
114.193,4.100000000000001,4.92132,0.425653
116.972,4.200000000000001,4.92164,0.425683
119.753,4.300000000000001,4.92196,0.425697
122.568,4.4,4.92196,0.425801
125.360,4.5,4.92212,0.425845
128.158,4.6,4.9218,0.425786
130.936,4.699999999999999,4.92244,0.425875
133.732,4.799999999999999,4.92212,0.425742
136.560,4.899999999999999,4.92196,0.425771
139.371,4.999999999999998,4.92275,0.425801
142.167,5.099999999999998,4.92275,0.425949
144.947,5.1999999999999975,4.92196,0.42586
147.742,5.299999999999997,4.92212,0.42586
150.539,5.399999999999997,4.9226,0.425919
153.336,5.4999999999999964,4.92212,0.425771
156.130,5.599999999999996,4.92228,0.425949
158.942,5.699999999999996,4.92164,0.42617
161.754,5.799999999999995,4.92212,0.426244
164.554,5.899999999999995,4.92228,0.4262
167.330,5.999999999999995,4.92196,0.426008
170.158,6.099999999999994,4.92164,0.425801
172.954,6.199999999999994,4.9218,0.425919
175.766,6.299999999999994,4.92196,0.426082
178.562,6.399999999999993,4.9226,0.4262
181.342,6.499999999999993,4.9226,0.426229
184.123,6.5999999999999925,4.92212,0.42617
186.917,6.699999999999992,4.92244,0.426215
189.714,6.799999999999992,4.92244,0.426407
192.525,6.8999999999999915,4.9218,0.426599
195.331,6.999999999999991,4.92228,0.426983
198.148,7.099999999999991,4.92228,0.427382
200.960,7.19999999999999,4.92196,0.4275
203.772,7.29999999999999,4.92244,0.427677
206.568,7.39999999999999,4.92212,0.427825
209.383,7.499999999999989,4.92228,0.428416
212.207,7.599999999999989,4.92212,0.42883
215.003,7.699999999999989,4.92228,0.429628
