0	0.395472	81.71
0.5	0.395821	81.78
1	0.395964	81.81
1.5	0.396043	81.83
2	0.396012	81.82
2.5	0.395885	81.79
3	0.396027	81.82
3.5	0.396218	81.86
4	0.395916	81.80
4.5	0.396266	81.87
5	0.39625	81.87
5.5	0.396139	81.85
6	0.395837	81.78
6.5	0.39598	81.81
7	0.396154	81.85
7.5	0.396202	81.86
8	0.396139	81.85
8.5	0.396123	81.84
9	0.39625	81.87
9.5	0.396329	81.89
10	0.396361	81.89
10.5	0.396266	81.87
11	0.396234	81.87
11.5	0.396202	81.86
12	0.396266	81.87
12.5	0.396218	81.86
13	0.39625	81.87
13.5	0.396424	81.91
14	0.396202	81.86
14.5	0.396234	81.87
15	0.396202	81.86
15.5	0.396615	81.95
16	0.396996	82.02
16.5	0.397139	82.05
17	0.397408	82.11
17.5	0.397281	82.08
18	0.397297	82.09
18.5	0.397488	82.13
19	0.3979	82.21
19.5	0.398059	82.24
20	0.398281	82.29
20.5	0.398139	82.26
20.6	0.39844	82.32
20.7	0.398599	82.36
20.8	0.398567	82.35
20.9	0.399028	82.44
21	0.398869	82.41
21.1	0.398472	82.33
21.2	0.398742	82.38
21.3	0.398916	82.42
21.4	0.399377	82.52
21.5	0.399599	82.56
21.6	0.399758	82.59
21.7	0.399361	82.51
21.8	0.399853	82.61
21.9	0.400186	82.68
22	0.400123	82.67
22.1	0.400885	82.83
22.2	0.401631	82.98
22.3	0.402282	83.12
22.4	0.403774	83.42
22.5	0.404774	83.63
22.6	0.405774	83.84
22.7	0.406123	83.91
22.8	0.407329	84.16
22.9	0.408345	84.37
23	0.409615	84.63
23.1	0.411298	84.98
23.2	0.413234	85.38
23.3	0.415171	85.78
23.4	0.416346	86.02
23.5	0.416996	86.16
23.6	0.417044	86.17
23.7	0.417552	86.27
23.8	0.417917	86.35
23.9	0.41752	86.26
24	0.417457	86.25
24.1	0.417219	86.20
24.2	0.416536	86.06
24.3	0.415488	85.84
24.4	0.41398	85.53
24.5	0.412885	85.31
24.6	0.411536	85.03
24.7	0.409996	84.71
24.8	0.409393	84.59
24.9	0.408345	84.37
25	0.407441	84.18
25.1	0.406679	84.02
25.2	0.405917	83.87
25.3	0.405044	83.69
25.4	0.404631	83.60
25.5	0.404456	83.57
25.6	0.404139	83.50
25.7	0.403663	83.40
25.8	0.403234	83.31
25.9	0.403044	83.27
26	0.402885	83.24
26.1	0.402424	83.15
26.2	0.402409	83.14
26.3	0.402091	83.08
26.4	0.401488	82.95
26.5	0.40152	82.96
26.6	0.401202	82.89
26.7	0.401043	82.86
26.8	0.400837	82.82
26.9	0.400662	82.78
27	0.40044	82.74
27.1	0.400123	82.67
27.2	0.400313	82.71
27.3	0.399535	82.55
27.4	0.399472	82.54
27.5	0.399583	82.56
27.6	0.399123	82.46
27.7	0.399472	82.54
27.8	0.399361	82.51
27.9	0.399313	82.50
28	0.39917	82.47
28.5	0.398472	82.33
29	0.398329	82.30
29.5	0.397996	82.23
30	0.397758	82.18
30.5	0.397694	82.17
31	0.397551	82.14
31.5	0.397313	82.09
32	0.397091	82.04
32.5	0.397361	82.10
33	0.397266	82.08
33.5	0.396583	81.94
34	0.396885	82.00
34.5	0.396472	81.92
35	0.39644	81.91
35.5	0.396646	81.95
36	0.396694	81.96
36.5	0.396551	81.93
37	0.396535	81.93
37.5	0.39652	81.93
38	0.396313	81.88
38.5	0.396218	81.86
39	0.39625	81.87
39.5	0.396377	81.90
40	0.396313	81.88
40.5	0.396408	81.90
41	0.396139	81.85
41.5	0.396202	81.86
42	0.396329	81.89
42.5	0.396186	81.86
43	0.396297	81.88
43.5	0.39644	81.91
44	0.396361	81.89
44.5	0.396091	81.84
45	0.39644	81.91
45.5	0.39644	81.91
46	0.396615	81.95
46.5	0.396408	81.90

