Time [s],Position [mm],Power [W]
0.003,5,0.471685
2.070,5.5,0.471862
4.708,6.0,0.471671
7.278,6.5,0.471744
9.852,7.0,0.471435
12.425,7.5,0.47139
15.011,8.0,0.471494
17.621,8.5,0.471346
20.187,9.0,0.471316
22.761,9.5,0.471154
25.331,10.0,0.470933
27.906,10.5,0.471125
30.475,11.0,0.470844
33.047,11.5,0.4708
35.620,12.0,0.470903
38.191,12.5,0.470785
40.779,13.0,0.471036
43.351,13.5,0.470948
45.923,14.0,0.470948
48.510,14.5,0.471036
51.100,15.0,0.470726
53.672,15.5,0.470756
56.245,16.0,0.470505
58.831,16.5,0.470726
61.419,17.0,0.470874
63.992,17.5,0.470475
66.565,18.0,0.470623
69.136,18.5,0.470756
71.709,19.0,0.470652
74.280,19.5,0.470623
76.853,20.0,0.470667
79.442,20.5,0.471007
82.013,21.0,0.470579
84.620,21.5,0.470579
87.191,22.0,0.470402
89.761,22.5,0.470579
92.334,23.0,0.4708
94.921,23.5,0.470652
97.512,24.0,0.470962
100.093,24.5,0.470785
102.669,25.0,0.471228
105.243,25.5,0.471272
107.830,26.0,0.47142
110.401,26.5,0.471626
112.989,27.0,0.471951
115.561,27.5,0.472128
118.149,28.0,0.472512
120.722,28.5,0.472512
123.293,29.0,0.472895
125.867,29.5,0.473028
128.437,30.0,0.473072
131.010,30.5,0.473028
133.600,31.0,0.472777
136.186,31.5,0.472512
138.758,32.0,0.472187
141.329,32.5,0.471803
143.917,33.0,0.471612
146.489,33.5,0.471376
149.076,34.0,0.471139
151.681,34.5,0.470623
154.269,35.0,0.470652
156.840,35.5,0.47052
159.430,36.0,0.470328
162.002,36.5,0.470269
164.652,37.0,0.47018
167.224,37.5,0.470225
169.782,38.0,0.470107
172.368,38.5,0.470077
174.974,39.0,0.470298
177.545,39.5,0.470195
180.161,40.0,0.469929
182.724,40.5,0.469974
185.294,41.0,0.469944
187.866,41.5,0.469811
190.439,42.0,0.469723
193.017,42.5,0.469944
195.583,43.0,0.469988
198.192,43.5,0.46987
200.758,44.0,0.469797
203.406,44.5,0.470062
205.983,45.0,0.469767
208.571,45.5,0.470033
211.147,46.0,0.469974
213.730,46.5,0.469988
216.312,47.0,0.469974
218.891,47.5,0.470092
221.463,48.0,0.469944
224.051,48.5,0.469915
226.622,49.0,0.46962
229.195,49.5,0.469693
231.863,50.0,0.4699
234.451,50.5,0.469738
237.038,51.0,0.470003
239.611,51.5,0.469797
242.167,52.0,0.469811
244.751,52.5,0.469811
247.328,53.0,0.470003
249.900,53.5,0.470003
252.472,54.0,0.469929
255.059,54.5,0.470048
257.647,55.0,0.469959
