0	829	778
1	699	664
2	586	549
3	474	421
4	372	319
5	251	189
5.25	218	151
5.5	184	118
5.75	152	84
6	112	57
6.25	80	43
6.5	56	49
6.75	43	70
7	38	94
7.25	61	133
7.5	94	169
7.75	126	207
8	161	241
9	285	372
10	414	504
11	540	634
12	668	775
13	805	955
14	944	1083
15	1108	1217
16	1242	1328
17	1355	1491
18	1485	1682
19	1704	1818
20	1797	2060
